"Test Number","Brand","Textile Mill","Fabric Database","Labratory","Fuze Fabric Number","Wash","Number of Washes","Test Method","Test Method (dropdown)","Test Report #","Tested Bacteria #1","Antimicrobial Result #1","Tested Bacteria","Tested Bacteria #2","Antibacterial Result #2","Written Result (Fungal Testing)","Tested Odor","Tested Metal","ICP (Ag) Result","ICP (Au) Result","Fuze Internal Report #","Date","Date (post wash)","Testing Labratory","Fuze Application Date","Report 1","Report 1 : URL","Report 2","Report 2 : URL","Report 3","Report 3 : URL","Report 4","Report 4 : URL","Image","Image : URL","Ag Serial #","Au Serial #","Fungal Serial #","Machine Type","Post Wash Report #","Ag","Record ID"
"1004","","","","","","0","","ASTM E2149","","TWNC01179521","","100%","E-coli","","","","","","","","","06/06/2023","","ITS TW","05/23/2023","","","","","","","","","","","Ag220713-105","","","MISTI Mobile","ASTM E2149","","67777d54126ae702d825c5db"
"1005","","","","","","0","","ASTM E2149","","TWNC01183121","","100%","E-coli","","","","","","","","","06/19/2023","","SGS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d54126ae702d825c5ea"
"1006","","","","","","20","","ASTM E2149","","TWNC01186884","","78%","E-coli","","","","","","","","","07/10/2023","","SGS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d54126ae702d825c5f7"
"1007","","","","","","0","","AATCC 30","","TWNC01189490","","","Aspergilllus niger","","","","","","","","","07/25/2023","","SGS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d54126ae702d825c606"
"1008","","","","","","0","","ASTM E2149","","TWNC01183122","","100%","E-coli","","","Macroscopic growth","","","","","","06/19/2023","","SGS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d55126ae702d825c615"
"1009","","","","","","20","","ASTM E2149","","TWNC01186891","","25%","E-coli","","","","","","","","","07/10/2023","","SGS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d55126ae702d825c622"
"1010","","","","","","0","","ASTM E2149","","TWNC01183123","","98%","E-coli","","","","","","","","","06/19/2023","","SGS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d55126ae702d825c630"
"1011","","","","","","20","","ASTM E2149","","TWNC01186892","","97%","E-coli","","","","","","","","","07/10/2023","","SGS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d55126ae702d825c63f"
"1012","","","","","","0","","ASTM E2149","","","","","E-coli","","","","","","","","","","","SGS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d55126ae702d825c654"
"1013","","","","","","0","","ASTM E2149","","TWNC01184509","","100%","E-coli","","","","","","","","","06/26/2023","","SGS TW","06/10/2023","","","","","","","","","","","Ag220630-103","","","MISTI Mobile","ASTM E2149","","67777d55126ae702d825c664"
"1014","","","","","","0","","AATCC 30","","TWNC01184511","","","Aspergilllus niger","","","Macroscopic growth (visible to the eye) ","","","","","","07/06/2023","","SGS TW","11/10/2022","","","","","","","","","","","Ag211104-106","Au220125-211","","Padding","AATCC 30","","67777d56126ae702d825c676"
"1015","","","","","","0","","ASTM E2149","","TWNC01185783","","89%","E-coli","","","","","","","","","06/29/2023","","ITS TW","05/11/2023","","","","","","","","","","","Ag211110-103、Ag220713-105","Au220119-204","","MISTI Batch","","","67777d56126ae702d825c689"
"1016","","","","","","0","","ASTM E2149","","TWNC01189423","","100%","Staph","","","","","","","","","07/18/2023","","ITS TW","","","","","","","","","","","","Ag220713-105","","","MISTI Mobile","ASTM E2149","","67777d57126ae702d825c697"
"1017","","","","","","0","","ASTM E2149","","TWNC01189425","","100%","E-coli","","","","","","","","","07/18/2023","","ITS TW","","","","","","","","","","","","Ag220713-105","","","MISTI Mobile","ASTM E2149","","67777d58126ae702d825c6b0"
"1018","","","","","","0","","ASTM E2149","","TWNC01195304","","68%","E-coli","","","","","","905.000","","","07/28/2023","","ITS TW","07/06/2023","","","","","","","","","","","Ag220707-105","Au220119-204 10ppm","","Padding","","","67777d58126ae702d825c6c9"
"1019","","","","","","0","","ASTM E2149","","TWNC01195930","","84%","E-coli","","","","","","43.000","","","08/04/2023","","ITS TW","","","","","","","","","","","","Ag220630-103","Au220119-204","","Padding","","","67777d58126ae702d825c6e3"
"1020","","","","","","0","","ASTM E2149","","TWNC01195740","","100%","E-coli","","","","","","","","","08/03/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d58126ae702d825c6fb"
"1021","","","","","","0","","AATCC 147","","TWNC01197992","","","E-coli","","","Inhibition of growth","","","","","","08/10/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 147","","67777d58126ae702d825c714"
"1022","","","","","","0","","ASTM E2149","","TWNC01201586","","99%","E-coli","","","","","","468.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d58126ae702d825c721"
"1023","","","","","","0","","AATCC 100","","TWNC01201595","","94%","E-coli","","","","","","468.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 100","","67777d58126ae702d825c733"
"1024","","","","","","0","","AATCC 100","","TWNC01203061","","100%","Staph ","","","","","","468.000","","","09/01/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 100","","67777d59126ae702d825c742"
"1025","","","","","","0","","AATCC 100","","TWNC01203061","","100%","E-coli","","","","","","468.000","","","09/01/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 100","","67777d59126ae702d825c751"
"1026","","","","","","100","","ASTM E2149","","TWNC01201587","","100%","E-coli","","","","","","159.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d59126ae702d825c761"
"1027","","","","","","100","","AATCC 100","","TWNC01201598","","100%","E-coli","","","","","","159.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 100","","67777d59126ae702d825c773"
"1028","","","","","","0","","ASTM E2149","","TWNC01201588","","100%","E-coli","","","","","","464.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d59126ae702d825c783"
"1029","","","","","","0","","AATCC 100","","TWNC01201600","","92%","E-coli","","","","","","464.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 100","","67777d59126ae702d825c78e"
"1030","","","","","","0","","AATCC 100","","TWNC01203067","","100%","Staph ","","","","","","464.000","","","09/01/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 100","","67777d5a126ae702d825c7a5"
"1031","","","","","","0","","AATCC 100","","TWNC01203067","","100%","E-coli","","","","","","464.000","","","09/01/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 100","","67777d5a126ae702d825c7b9"
"1032","","","","","","100","","ASTM E2149","","TWNC01201589","","100%","E-coli","","","","","","131.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5a126ae702d825c7ce"
"1033","","","","","","100","","AATCC 100","","TWNC01201601","","100%","E-coli","","","","","","131.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 100","","67777d5a126ae702d825c7e1"
"1034","","","","","","0","","ASTM E2149","","TWNC01201590","","100%","E-coli","","","","","","189.000","","","08/25/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5a126ae702d825c7ed"
"1035","","","","","","0","","AATCC 147","","TWNC01213688","","","Staph","","","Inhibition of growth","","","871.000","","","10/17/2023","","ITS TW","","","","","","","","","","","","","","","","AATCC 147","","67777d5a126ae702d825c7fb"
"1036","","","","","","0","","ASTM E2149","","TWNC01217094","","100%","E-coli","","","","","","871.000","","","10/31/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5a126ae702d825c80b"
"1037","","","","","","0","","ASTM E2149","","TWNC01226878","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5a126ae702d825c819"
"1038","","","","","","0","","ASTM E2149","","TWNC01226879","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5b126ae702d825c827"
"1039","","","","","","0","","ASTM E2149","","TWNC01226880","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5b126ae702d825c836"
"1040","","","","","","0","","ASTM E2149","","TWNC01226881","","100%","E-coli","","","","","","1088.000","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5b126ae702d825c848"
"1041","","","","","","25","","ASTM E2149","","TWNC01231386","","100%","E-coli","","","","","","","","","12/29/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5b126ae702d825c854"
"1042","","","","","","0","","ASTM E2149","","TWNC01226882","","100%","E-coli","","","","","","963.000","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5b126ae702d825c862"
"1043","","","","","","0","","ASTM E2149","","TWNC01226883","","100%","E-coli","","","","","","406.000","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5b126ae702d825c873"
"1044","","","","","","0","","ASTM E2149","","TWNC01226884","","100%","E-coli","","","","","","152.000","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5b126ae702d825c884"
"1045","","","","","","25","","ASTM E2149","","TWNC01231389","","98%","E-coli","","","","","","","","","12/29/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5c126ae702d825c88f"
"1046","","","","","","0","","ASTM E2149","","TWNC01226885","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5c126ae702d825c8a0"
"1047","","","","","","0","","ASTM E2149","","TWNC01226886","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5c126ae702d825c8bd"
"1048","","","","","","0","","ASTM E2149","","TWNC01226887","","99%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5c126ae702d825c8ce"
"1049","","","","","","0","","ASTM E2149","","TWNC01226888","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5c126ae702d825c8df"
"1050","","","","","","25","","ASTM E2149","","TWNC01234281","","100%","E-coli","","","","","","","","","01/10/2024","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5c126ae702d825c8ef"
"1051","","","","","","0","","ASTM E2149","","TWNC01226889","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5c126ae702d825c8fc"
"1052","","","","","","25","","ASTM E2149","","TWNC01234282","","100%","E-coli","","","","","","","","","01/10/2024","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5c126ae702d825c908"
"1053","","","","","","0","","ASTM E2149","","TWNC01226890","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5c126ae702d825c917"
"1054","","","","","","25","","ASTM E2149","","TWNC01234284","","100%","E-coli","","","","","","","","","01/10/2024","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5d126ae702d825c92a"
"1055","","","","","","0","","ASTM E2149","","TWNC01226891","","100%","E-coli","","","","","","","","","12/07/2023","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5d126ae702d825c93b"
"1056","","","","","","25","","ASTM E2149","","TWNC01234287","","100%","E-coli","","","","","","","","","01/10/2024","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d5d126ae702d825c94a"
"1057","","","","","","0","","ICPMS","","TWNC01227210","","","Ag","","","","","","201.000","","","12/05/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5d126ae702d825c959"
"1058","","","","","","0","","ASTM E2149","","TWNC01230110","","94%","E-coli","","","","","","1239.000","","","12/20/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5d126ae702d825c967"
"1059","","","","","","10","","ASTM E2149","","TWNC01230111","","86%","E-coli","","","","","","42.000","","","12/20/2023","","ITS TW","","","","","","","","","","","","","","","","","","67777d5d126ae702d825c972"
"1060","","","","","","0","","ICPMS","","","","","Ag","","","","","","685.000","","","","","Shandong","","","","","","","","","","","","","","","","","","67777d5d126ae702d825c981"
"1061","","","","","","0","","ICPMS","","","","","Ag","","","","","","1305.000","","","","","Shandong","","","","","","","","","","","","","","","","","","67777d5e126ae702d825c991"
"1062","","","","","","0","","ICPMS","","","","","Ag","","","","","","","","","","","Shandong","","","","","","","","","","","","","","","","","","67777d5e126ae702d825c99f"
"1063","","","","","","0","","ASTM E2149","","TWNC01233338-S1 ","","100%","E-coli","","","","","","","","","01/10/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5e126ae702d825c9af"
"1064","","","","","","20","","ASTM E2149","","TWNC01233340","","100%","E-coli","","","","","","","","","01/09/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5e126ae702d825c9c4"
"1065","","","","","","50","","ASTM E2149","","TWNC01238010","","0%","E-coli","","","","","","","","","01/31/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5e126ae702d825c9db"
"1066","","","","","","0","","ASTM E2149","","TWNC01233354-S1","","100%","E-coli","","","","","","","","","01/10/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5e126ae702d825c9f0"
"1067","","","","","","20","","ASTM E2149","","TWNC01233358","","85%","E-coli","","","","","","","","","01/09/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5e126ae702d825c9fe"
"1068","","","","","","50","","ASTM E2149","","TWNC01238012","","0%","E-coli","","","","","","","","","01/31/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5e126ae702d825ca09"
"1069","","","","","","0","","ASTM E2149","","TWNC01233363","","100%","E-coli","","","","","","","","","01/09/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5f126ae702d825ca18"
"1070","","","","","","20","","ASTM E2149","","TWNC01233364","","83%","E-coli","","","","","","","","","01/09/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5f126ae702d825ca25"
"1071","","","","","","0","","ASTM E2149","","TWNC01233367-S1 ","","100%","E-coli","","","","","","","","","01/10/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5f126ae702d825ca31"
"1072","","","","","","20","","ASTM E2149","","TWNC01233369","","88%","E-coli","","","","","","","","","01/09/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d5f126ae702d825ca40"
"1073","","","","","","0","","ISO 22196:2011","","TWNC01234289","","","E-coli (ATCC 8739)","","","3.35","","","","","","01/19/2024","","ITS TW","","","","","","","","","","","","","","","","ISO 22196:2011","","67777d5f126ae702d825ca4f"
"1074","","","","","","0","","ASTM G21-15","","TWNC01234292","","0%","Mixed Bacteria","","","Light Growth","","","","","","02/06/2024","","ITS TW","","","","","","","","","","","","","","","","ASTM G21-15","","67777d5f126ae702d825ca5f"
"1075","","","","","","0","","ISO 22196:2011","","TWNC01235939","","","E-coli (ATCC 8739)","","","3.41","","","","","","01/19/2024","","ITS TW","","","","","","","","","","","","","","","","ISO 22196:2011","","67777d5f126ae702d825ca6c"
"1076","","","","","","0","","ASTM G21-15","","TWNC01235940","","0%","Mixed Bacteria","","","Light Growth","","","","","","02/06/2024","","ITS TW","","","","","","","","","","","","","","","","ASTM G21-15","","67777d5f126ae702d825ca7d"
"1077","","","","","","0","","ASTM E2149","","TWNC01235942","","96%","E-coli","","","","","","21.000","","","01/19/2024","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d60126ae702d825ca8b"
"1078","","","","","","0","","ASTM E2149","","TWNC01235943 ","","100%","E-coli","","","","","","586.000","","","01/19/2024","","ITS TW","","","","","","","","","","","","","","","Padding","","","67777d60126ae702d825ca9d"
"1079","","","","","","0","","ASTM E2149","","TWNC01235944 ","","100%","E-coli","","","","","","","","","01/19/2024","","ITS TW","","","","","","","","","","","","","","","Padding","","","67777d60126ae702d825caac"
"1080","","","","","","0","","ICPOES","","","","","Ag","","","","","","114.000","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d60126ae702d825cabe"
"1081","","","","","","0","","ASTM E2149","","TWNC01242709","","97%","E-coli","","","","","","","","","02/27/2024","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","ASTM E2149","","67777d60126ae702d825cad0"
"1082","","","","","","0","","ASTM E2149","","TWNC01242710","","97%","E-coli","","","","","","","","","02/27/2024","","ITS TW","","","","","","","","","","","","","","","MISTI Batch","ASTM E2149","","67777d60126ae702d825cae1"
"1083","","","","","","20","","ASTM E2149","","TWNC01244582","","100%","E-coli","","","","","","","","","02/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d60126ae702d825caf6"
"1084","","","","","","0","","ASTM E2149","","TWNC01244583","","100%","E-coli","","","","","","","","","02/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d60126ae702d825cb07"
"1085","","","","","","0","","ASTM E2149","","TWNC01244584","","100%","E-coli","","","","","","","","","02/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d61126ae702d825cb20"
"1086","","","","","","0","","ASTM E2149","","TWNC01244585","","100%","E-coli","","","","","","","","","02/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d61126ae702d825cb39"
"1087","","","","","","0","","ASTM E2149","","TWNC01244586","","100%","E-coli","","","","","","","","","02/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d61126ae702d825cb4e"
"1088","","","","","","0","","ASTM E2149","","TWNC01244587","","100%","E-coli","","","","","","","","","02/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d61126ae702d825cb66"
"1089","","","","","","0","","ASTM E2149","","TWNC01244588","","100%","E-coli","","","","","","","","","02/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d61126ae702d825cb71"
"1090","","","","","","0","","ASTM E2149","","TWNC01244589","","100%","E-coli","","","","","","","","","02/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d61126ae702d825cb81"
"1091","","","","","","0","","ASTM E2149","","TWNC01244590","","0%","E-coli","","","","","","","","","02/29/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d62126ae702d825cb8f"
"1092","","","","","","0","","ASTM E2149","","TWNC01244591","","0%","E-coli","","","","","","","","","02/29/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d62126ae702d825cb9e"
"1093","","","","","","0","","ASTM E2149","","TWNC01244592","","0%","E-coli","","","","","","","","","02/29/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d62126ae702d825cbac"
"1094","","","","","","0","","ASTM E2149","","TWNC01244593","","0%","E-coli","","","","","","","","","02/29/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d62126ae702d825cbbd"
"1095","","","","","","0","","ASTM E2149","","TWNC01244594","","18%","E-coli","","","","","","","","","02/29/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d62126ae702d825cbcd"
"1096","","","","","","0","","ASTM E2149","","TWNC01246556","","99%","E-coli","","","","","","","","","03/04/2024","","ITS TW","","","","","","","","","","","","","","","","ASTM E2149","","67777d62126ae702d825cbdd"
"1097","","","","","","0","","ASTM E2149","","","","","E-coli","","","","","","","","","","","ITS TW","","","","","","","","","","","","","","","Padding","","","67777d62126ae702d825cbf2"
"1098","","","","","","0","","ASTM E2149","","TWNC01305665","","","E-coli","","","No reduction","","","","","","10/08/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d63126ae702d825cc02"
"1099","","","","","","0","","ASTM E2149","","TWNC01305666","","","E-coli","","","No reduction","","","","","","10/08/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d63126ae702d825cc17"
"1100","","","","","","0","","ICP-MS (Ag)","","TWNC01307974","","0%","-","","","","","","9.000","","","10/15/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d63126ae702d825cc27"
"1101","","","","","","0","","ICP-MS (Ag)","","TWNC01307979","","0%","-","","","","","","6.000","","","10/15/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d63126ae702d825cc38"
"1102","","","","","","0","","ASTM E2149","","TWNC01316565","","99%","E-coli","","","","","","","","","11/19/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d63126ae702d825cc47"
"1103","","","","","","0","","ASTM E2149 (NB)","","TWNC01318504","","97%","E-coli","","","","","","","","","11/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d63126ae702d825cc54"
"1104","","","","","","0","","AATCC 100","","TWNC01314536 ","","90%","Staph","","0%","","","","","","","11/14/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d63126ae702d825cc63"
"1105","","","","","","0","","ASTM E2149","","TWNT02189088","","23%","E-coli","","","","","","","","","10/15/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d64126ae702d825cc70"
"1106","","","","","","0","","ICP-MS (Ag)","","TWNC01314539 (sent by YY)","","0%","-","","","","","","8.000","","","11/07/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d64126ae702d825cc7f"
"1107","","","","","","0","","ICP-MS (Ag)","","TWNC01318498","","0%","-","","","","","","32.000","","","11/21/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d64126ae702d825cc91"
"1108","","","","","","15","","ICP-MS (Ag)","","TWNC01318499","","0%","-","","","","","","12.000","","","11/21/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d64126ae702d825cca0"
"1109","","","","","","0","","ASTM E2149","","TWNC01318496","","100%","E-coli","","","","","","","","","11/26/2024","","ITS TW","","","","","","","","","","","","","","","","","","67777d64126ae702d825ccb0"
"1110","","","","","","50","","ASTM E2149","","TWNC00917292","","0%","Staph (ATCC 6538)","","","Fuze(MHB, PB) 10^7 bacteria initial count","","","","","","09/18/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d64126ae702d825ccbd"
"1111","","","","","","50","","ASTM E2149","","TWNC00921044","","100%","Staph (ATCC 6538)","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","09/29/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d65126ae702d825cccd"
"1112","","","","","","50","","ASTM E2149","","TWNC00923513","","97%","Staph (ATCC 6538)","","","Fuze(MHB, PB) 10^6 bacteria initial count","","","","","","10/13/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d65126ae702d825ccde"
"1113","","","","","","50","","ASTM E2149","","TWNC00917294","","95%","MRSA (ATCC 33591)","","","Fuze(MHB, PB) 10^7 bacteria initial count","","","","","","09/18/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d65126ae702d825ccf4"
"1114","","","","","","50","","ASTM E2149","","TWNC00927876","","97%","MRSA (ATCC 33591)","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d65126ae702d825cd0b"
"1115","","","","","","50","","ASTM E2149","","TWNC00917295","","0%","Enterococcus faecalis (ATCC 19433)","","","Fuze(MHB, PB) 10^7 bacteria initial count","","","","","","09/18/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d65126ae702d825cd20"
"1116","","","","","","50","","ASTM E2149","","TWNC00927879","","95%","Enterococcus faecalis (ATCC 19433)","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d65126ae702d825cd2f"
"1117","","","","","","50","","ASTM E2149","","TWNC00917298","","0%","E-coli ","","","Fuze(MHB, PB) 10^7 bacteria initial count","","","","","","09/18/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d65126ae702d825cd3c"
"1118","","","","","","50","","ASTM E2149","","TWNC00921045","","100%","E-coli ","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","09/29/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d65126ae702d825cd4b"
"1119","","","","","","50","","AATCC 147","","TWNC00921064","","","E-coli ","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","09/29/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d66126ae702d825cd5a"
"1120","","","","","","50","","ASTM E2149","","TWNC00917299","","0%","Kleb","","","Fuze(MHB, PB) 10^7 bacteria initial count","","","","","","09/18/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d66126ae702d825cd6a"
"1121","","","","","","50","","ASTM E2149","","TWNC00927880","","100%","Kleb (ATCC 4352)","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d66126ae702d825cd75"
"1122","","","","","","50","","ASTM E2149","","TWNC00927882","","0%","P-Aeruginosa (ATCC 10145)","","","Fuze(MHB, PB) 10^7 bacteria initial count","","","","","","09/18/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d66126ae702d825cd83"
"1123","","","","","","50","","ASTM E2149","","TWNC00927882","","100%","P-Aeruginosa (ATCC 10145)","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d66126ae702d825cd91"
"1124","","","","","","50","","ASTM E2149","","TWNC00962450","","73%","Candida albicans (ATCC10231)","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d66126ae702d825cda0"
"1125","","","","","","50","","AATCC 100","","TWNC00924513","","26%","Staph ","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","10/16/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d66126ae702d825cdac"
"1126","","","","","","50","","AATCC 100","","TWNC00928661","","100%","MRSA","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d66126ae702d825cdbc"
"1127","","","","","","50","","AATCC 100","","TWNC00928663","","100%","Bacillus cereus","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d67126ae702d825cdcc"
"1128","","","","","","50","","AATCC 100","","TWNC00924517","","0%","E-coli ","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","10/16/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d67126ae702d825cddb"
"1129","","","","","","50","","AATCC 100","","TWNC00928664","","100%","Kleb","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d67126ae702d825cdef"
"1130","","","","","","50","","AATCC 100","","TWNC00928665","","100%","P-Aeruginosa","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d68126ae702d825ce03"
"1131","","","","","","50","","AATCC 100","","TWNC00962453","","62%","Candida albicans (ATCC10231)","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d69126ae702d825ce16"
"1132","","","","","","50","","ASTM E2149","","TWNC00928741","","100%","Staph ","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d69126ae702d825ce29"
"1133","","","","","","50","","ASTM E2149","","TWNC00928746","","99%","MRSA","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d69126ae702d825ce34"
"1134","","","","","","50","","ASTM E2149","","TWNC00928748","","100%","E-coli ","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","","","ITS TW","","","","","","","","","","","","","","","","","","67777d69126ae702d825ce44"
"1135","","","","","","100","","ASTM E2149","","TWNC00923515","","97%","Staph ","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","10/13/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d69126ae702d825ce50"
"1136","","","","","","100","","ASTM E2149","","TWNC00923517","","100%","MRSA","","","Fuze(MHB, PB) 10^5 bacteria initial count","","","","","","10/13/2020","","ITS TW","","","","","","","","","","","","","","","","","","67777d69126ae702d825ce5e"
